Titles,Labels
"Formation energy and interaction of point defects in two-dimensional
  colloidal crystals",cond-mat.other
"Temperature dependence of the energy of a vortex in a two-dimensional
  Bose gas",cond-mat.other
Production of a chromium Bose-Einstein condensate,cond-mat.other
Production of a chromium Bose-Einstein condensate,cond-mat.other
"Quantum information processing using frequency control of impurity spins
  in diamond",cond-mat.other
Kramers equation for a charged Brownian particle: The exact solution,cond-mat.other
Hot-hole lasers in III-V semiconductors,cond-mat.other
"Evolution from a Bose-Einstein condensate to a Tonks-Girardeau gas: An
  exact diagonalization study",cond-mat.other
"Quantifying signals with power-law correlations: A comparative study of
  detrended fluctuation analysis and detrended moving average techniques",cond-mat.other
"Magnetic relaxation studies on a single-molecule magnet by time-resolved
  inelastic neutron scattering",cond-mat.other
"Combining high pressure and coherent diffraction: a first feasibility
  test",cond-mat.other
"Extraordinary acoustic reflection enhancement by
  acoustically-transparent thin plates",cond-mat.other
The domain wall spin torque-meter,cond-mat.other
"Strong spin-oscillation of small spin-1 condensates caused by an
  inclined weak magnetic field",cond-mat.other
Edge-localized states in quantum one-dimensional lattices,cond-mat.other
"Numerical Studies of Counterflow Turbulence, Velocity Distribution of
  Vortices",cond-mat.other
"Dynamical equations for time-ordered Green's functions: from the Keldysh
  time-loop contour to equilibrium at finite and zero temperature",cond-mat.other
"Modelling the term structure of interest rates ÌÁ la
  Heath-Jarrow-Morton but with non Gaussian fluctuations",cond-mat.other
Laser tweezers for atomic solitons,cond-mat.other
Three-dimensional character of atom-chip-based rf-dressed potentials,cond-mat.other
"Low Temperature Shear Modulus Changes in Solid 4-He and Connection to
  Supersolidity",cond-mat.other
"Neutron inelastic scattering investigation of the magnetic excitations
  in Cu_2Te_2O_5X_2 (X=Br, Cl)",cond-mat.other
"Trapping cold atoms near carbon nanotubes: thermal spin flips and
  Casimir-Polder potential",cond-mat.other
Quantum transport and spin dynamics on shearless tori,cond-mat.other
Dissipation-induced symmetry breaking in a driven optical lattice,cond-mat.other
"Theoretical background for observing ultra-slow microwaves in a
  Bose-Einstein condensate of alkali atoms",cond-mat.other
Optimal orientation of anisotropic solids,cond-mat.other
"Image potential of single-wall carbon nanotubes in the field emission
  condition",cond-mat.other
Controlled quantum stirring of Bose-Einstein condensates,cond-mat.other
"High-Energy Limit of Massless Dirac Fermions in Multilayer Graphene
  using Magneto-Optical Transmission Spectroscopy",cond-mat.other
Electron as soliton: Nonlinear theory of dielectric polarization,cond-mat.other
ECoG observations of power-law scaling in the human cortex,cond-mat.other
"Tunable Resonant Raman Scattering from Singly Resonant Single Wall
  Carbon Nanotubes",cond-mat.other
Entanglement from the Dynamics of an Ideal Bose Gas in a Lattice,cond-mat.other
"Instrumentation of a high-sensitivity microwave vector detection system
  for low-temperature applications",cond-mat.other
Recrystallization of epitaxial GaN under indentation,cond-mat.other
Semiclassical model of ultrafast photoisomerization reactions,cond-mat.other
"Decay and fusion as two different mechanisms of stability loss for the
  (C_20)_2 cluster dimer",cond-mat.other
"Bose-Einstein condensation in semiconductors: the key role of dark
  excitons",cond-mat.other
"Band-selective Measurement of Electronic Dynamics in VO2 using
  Femtosecond Near Edge X-ray Absorption",cond-mat.other
Photon-induced entanglement of distant mesoscopic SQUID rings,cond-mat.other
Crystal Structure Studies of Human Dental Apatite as a Function of Age,cond-mat.other
Exact solutions of a class of S=1 quantum Ising spin models,cond-mat.other
"Charge-transfer in time-dependent density-functional theory via
  spin-symmetry-breaking",cond-mat.other
"q-Breathers and thermalization in acoustic chains with arbitrary
  nonlinearity index",cond-mat.other
"Graphite from the viewpoint of Landau level spectroscopy: An effective
  graphene bilayer and monolayer",cond-mat.other
"Metastable superfluidity of repulsive fermionic atoms in optical
  lattices",cond-mat.other
"Full correlation single-particle positron potentials for a positron and
  a positronium interacting with atoms",cond-mat.other
"Experimental evidence of ageing and slow restoration of the weak-contact
  configuration in tilted 3D granular packings",cond-mat.other
Quantum vortex reconnections,cond-mat.other
Spin polarized electron transport near the Si/SiO2 interface,cond-mat.other
Light funneling mechanism explained by magneto-electric interference,cond-mat.other
"An in-vivo study of electrical charge distribution on the bacterial cell
  wall by Atomic Force Microscopy in vibrating force mode",cond-mat.other
Area law and vacuum reordering in harmonic networks,cond-mat.other
Epidemic Incidence in Correlated Complex Networks,cond-mat.other
"Multi-band structure of the quantum bound states for a generalized
  nonlinear Schrodinger model",cond-mat.other
Toward high-frequency operation of spin lasers,cond-mat.other
"Decoherence in composite quantum open systems: the effectiveness of
  unstable degrees of freedom",cond-mat.other
Dark State Adiabatic Passage with spin-one particles,cond-mat.other
Multifractal Behavior of the Korean Stock-market Index KOSPI,cond-mat.other
"Magnetic properties of double exchange biased diluted magnetic
  alloy/ferromagnet/antiferromagnet trilayers",cond-mat.other
"Decoherence on a two-dimensional quantum walk using four- and two-state
  particle",cond-mat.other
"Analysis of dynamical tunnelling experiments with a Bose-Einstein
  condensate",cond-mat.other
"The Polyacetylene Raman Spectrum, Decoded",cond-mat.other
Highly polarized Fermi gases in two dimensions,cond-mat.other
"Zero-temperature phase diagram of the second layer of $^{\bf 4}$He
  adsorbed on graphene",cond-mat.other
"Properties of nitrogen-vacancy centers in diamond: group theoretic
  approach",cond-mat.other
Tracking quasi-classical chaos in ultracold boson gases,cond-mat.other
Electronic zero modes of vortices in Hall states of gapped graphene,cond-mat.other
Least Squares Importance Sampling for Monte Carlo Security Pricing,cond-mat.other
"Experimental procedures for precision measurements of the Casimir force
  with an Atomic Force Microscope",cond-mat.other
"Morphology Characterization of Argon-Mediated Epitaxial Graphene on
  C-face SiC",cond-mat.other
"Electromagnetic Potential in Pre-Metric Electrodynamics: Causal
  Structure, Propagators and Quantization",cond-mat.other
More on gapped Goldstones at finite density: More gapped Goldstones,cond-mat.other
Quantum mechanics in general quantum systems (III): open system dynamics,cond-mat.other
"Acoustically tuneable optical transmission through a subwavelength hole
  with a bubble",cond-mat.other
"Some Remarks on Nonlinear Properties of Pumping System of an
  Optical-Wavelength Acoustic Laser (Phaser)",cond-mat.other
"Freezing, accelerating and slowing directed currents in real time with
  superimposed driven lattices",cond-mat.other
"Kelvin modes as Nambu-Goldstone modes along superfluid vortices and
  relativistic strings: finite volume size effects",cond-mat.other
"Crystal Growth of Cu6(Ge,Si)6O18.6H2O and Assignment of UV-VIS Spectra
  in Comparison to Dehydrated Dioptase and Selected Cu(II) Oxo-Compounds
  Including Cuprates",cond-mat.other
Directional Roll-up of Nanomembranes Mediated by Wrinkling,cond-mat.other
Classical and Quantum Contents of Solvable Game Theory on Hilbert Space,cond-mat.other
"Higgs Mechanism with Type-II Nambu-Goldstone Bosons at Finite Chemical
  Potential",cond-mat.other
"Many-electron integrals over gaussian basis functions. I. Recurrence
  relations for three-electron integrals",cond-mat.other
Redundancies in Nambu-Goldstone Bosons,cond-mat.other
Avalanches of Bose-Einstein Condensates in Leaking Optical Lattices,cond-mat.other
"Dirichlet spectrum of the paradigm model of complex PT-symmetric
  potential: $V(x)=-(ix)^N$",cond-mat.other
Dipolar confinement-induced resonances of ultracold gases in waveguides,cond-mat.quant-gas
Pair condensation of polarized fermions in the BCS-BEC crossover,cond-mat.quant-gas
"Creation of orbital angular momentum states with chiral polaritonic
  lenses",cond-mat.quant-gas
Is an Ultra-Cold Strongly Interacting Fermi Gas a Perfect Fluid?,cond-mat.quant-gas
"Connection between rotation and miscibility in a two-component
  Bose-Einstein condensate",cond-mat.quant-gas
"Spontaneously axisymmetry breaking phase in a binary mixture of spinor
  Bose-Einstein condensates",cond-mat.quant-gas
"Conserving and Gapless Hartree-Fock-Bogoliubov theory for 3D dilute Bose
  gas at finite temperature",cond-mat.quant-gas
"Stable Solitons in Three Dimensional Free Space: Self-Trapped
  Bose-Einstein Condensates with Spin-Orbit Coupling",cond-mat.quant-gas
"Angular momentum in interacting many-body systems hides in phantom
  vortices",cond-mat.quant-gas
"Ultracold and dense samples of ground-state molecules in lattice
  potentials",cond-mat.quant-gas
"Equation of state of a polarized Fermi gas in the Bose-Einstein
  Condensate limit",cond-mat.quant-gas
Temporal correlations of elongated Bose gases at finite temperature,cond-mat.quant-gas
Contact Measurements on Atomic BEC,cond-mat.quant-gas
"Optimal control of quantum superpositions in a bosonic Josephson
  junction",cond-mat.quant-gas
"Quantum information entropies of ultra-cold atomic gases in a harmonic
  trap",cond-mat.quant-gas
Anisotropic pair-superfluidity of trapped two-component Bose gases,cond-mat.quant-gas
"Reproducible mesoscopic superpositions of Bose-Einstein condensates and
  mean-field chaos",cond-mat.quant-gas
"Spectral properties of strongly correlated bosons in two-dimensional
  optical lattices",cond-mat.quant-gas
"Few-body resonances of unequal-mass systems with infinite interspecies
  two-body s-wave scattering length",cond-mat.quant-gas
"Generalized Wick's theorem at finite temperature for a quadratic
  Hamiltonian",cond-mat.quant-gas
"Magnetic field dependence and the possibility of filtering ultraslow
  light pulses in atomic gases with Bose-Einstein condensates",cond-mat.quant-gas
"Finite size effects and Hofstadter butterfly in a bosonic Mott insulator
  with relativistic dispersion background",cond-mat.quant-gas
"Position swapping and pinching in Bose-Fermi mixtures with two-color
  optical Feshbach resonances",cond-mat.quant-gas
"Finite-temperature valence-bond-solid transitions and thermodynamic
  properties of interacting SU($2N$) Dirac fermions",cond-mat.quant-gas
"Characterizing the energy gap and demonstrating an adiabatic quench in
  an interacting spin system",cond-mat.quant-gas
"Cold atoms near superconductors: Atomic spin coherence beyond the
  Johnson noise limit",cond-mat.quant-gas
Vortex Mass in a Superfluid,cond-mat.quant-gas
"Dynamics and interaction of vortex lines in an elongated Bose-Einstein
  condensate",cond-mat.quant-gas
Quantum Flutter: Signatures and Robustness,cond-mat.quant-gas
FFLO order in ultra-cold atoms in three-dimensional optical lattices,cond-mat.quant-gas
"Low-dimensional physics of ultracold gases with bound states and the
  sine-Gordon model",cond-mat.quant-gas
Leading corrections to local approximations II (with turning points),cond-mat.quant-gas
"Dissipative fluid dynamics for the dilute Fermi gas at unitarity: Free
  expansion and rotation",cond-mat.quant-gas
"Universal relations for the two-dimensional spin-1/2 Fermi gas with
  contact interactions",cond-mat.quant-gas
"Calculation of Drag and Superfluid Velocity from the Microscopic
  Parameters and Excitation Energies of a Two-Component Bose-Einstein
  Condensate on an Optical Lattice",cond-mat.quant-gas
Gradient Catastrophe and Fermi Edge Resonances in Fermi Gas,cond-mat.quant-gas
"Pairing imbalance in BCS-BEC crossover of inhomogeneous three-component
  Fermi-gas in two dimensions",cond-mat.quant-gas
"Unifying treatment of nonequilibrium and unstable dynamics of cold
  bosonic atom system with time-dependent order parameter in Thermo Filed
  Dynamics",cond-mat.quant-gas
Turbulent superfluid as continuous vortex mixture,cond-mat.quant-gas
Satellite rings and normal modes in rotating clouds of ultra cold atoms,cond-mat.quant-gas
"Quantum phase transition of two-mode Bose-Einstein condensates with an
  entanglement order parameter",cond-mat.quant-gas
"Finite-temperature phase diagram of two-component bosons in a cubic
  optical lattice: Three-dimensional t-J model of hard-core bosons",cond-mat.quant-gas
Entanglement detection in hybrid optomechanical systems,cond-mat.quant-gas
Spontaneous Four-Wave Mixing of de Broglie Waves: Beyond Optics,cond-mat.quant-gas
"Quantum phase transition to unconventional multi-orbital superfluidity
  in optical lattices",cond-mat.quant-gas
"Density Wave -Supersolid and Mott Insulator-Superfluid transition in
  presence of an artificial gauge field : a strong coupling perturbation
  approach",cond-mat.quant-gas
Formation of Ultracold Fermionic NaLi Feshbach Molecules,cond-mat.quant-gas
Dynamics of interacting atoms in driven tilted optical lattices,cond-mat.quant-gas
"Temporal quantum fluctuations in the fringe-visibility of atom
  interferometers with interacting Bose-Einstein condensate",cond-mat.quant-gas
"Dirac-Weyl fermions with arbitrary spin in two-dimensional optical
  superlattices",cond-mat.quant-gas
"Asymmetric steering in coherent transport of atomic population with a
  three-well Bose-Hubbard model",cond-mat.quant-gas
"Tunneling control in an integrable model for Bose-Einstein Condensate in
  a triple well potential",cond-mat.quant-gas
Generation and Detection of Atomic Spin Entanglement in Optical Lattices,cond-mat.quant-gas
"Beating dark-dark solitons and Zitterbewegung in spin-orbit coupled
  Bose-Einstein condensates",cond-mat.quant-gas
Preparing and probing Chern bands with cold atoms,cond-mat.quant-gas
Heavy-Light Fermion Mixtures at Unitarity,cond-mat.quant-gas
Stability and stabilization of unstable condensates,cond-mat.quant-gas
Flux lattices reformulated,cond-mat.quant-gas
Ferromagnetic spin-orbital liquid of dipolar fermions in zigzag lattices,cond-mat.quant-gas
"Manipulation of light in a generalized coupled Nonlinear Schrodinger
  equation",cond-mat.quant-gas
"Dynamical revivals of the paired superfluidity and counterflow
  superfluidity",cond-mat.quant-gas
Quantum theory of phase estimation,cond-mat.quant-gas
"Cavity quantum electrodynamics of continuously monitored Bose-condensed
  atoms",cond-mat.quant-gas
"Intertwined and vestigial order with ultracold atoms in multiple cavity
  modes",cond-mat.quant-gas
Convergence Properties of the Effective Theory for Trapped Bosons,cond-mat.quant-gas
"Effective field theory for two-species bosons in an optical lattice:
  Multiple order, the Nambu-Goldstone bosons, the Higgs mode and vortex lattice",cond-mat.quant-gas
"Elastic constants of hcp $^{4}$He: Path-integral Monte Carlo results
  versus experiment",cond-mat.quant-gas
Heating from Continuous Number Density Measurements in Optical Lattices,cond-mat.quant-gas
"Spin-orbital exchange of strongly interacting fermions on the $p$-band
  of a two-dimensional optical lattice",cond-mat.quant-gas
"Ultracold Bosons with cavity-mediated long-range interactions: A local
  mean field analysis of the phase diagram",cond-mat.quant-gas
Topological insulator states in quasi-one-dimensional sawtooth chain,cond-mat.quant-gas
Criterion for Single Photon Sources,cond-mat.quant-gas
"Interactions and scattering of quantum vortices in a polariton
  condensate",cond-mat.quant-gas
"An Effective Series Expansion to the Equation of State of Unitary Fermi
  Gases",cond-mat.quant-gas
"Emergent phases and novel critical behavior in a non-Markovian open
  quantum system",cond-mat.quant-gas
"Modeling and simulations of quantum phase slips in ultrathin
  superconducting wires",cond-mat.quant-gas
Dynamics of generalized PT-symmetric dimers with time periodic gain-loss,cond-mat.quant-gas
"Nonlinear Spectroscopic Effects in Quantum Gases Induced by Atom-Atom
  Interactions",cond-mat.quant-gas
"Symmetry and the critical phase of the two-bath spin-boson model:
  Ground-state properties",cond-mat.quant-gas
"Landauer's formula with finite-time relaxation: Kramers' crossover in
  electronic transport",cond-mat.quant-gas
A Bright Solitonic Matter-Wave Interferometer,cond-mat.quant-gas
"On equilibration and coarsening in the quantum O(N) model at infinite
  $N$",cond-mat.quant-gas
Solitons in a one-dimensional Wigner crystal,cond-mat.quant-gas
High Temperature Superfluidity in Double Bilayer Graphene,cond-mat.quant-gas
"Tan contact and universal high momentum behavior of the fermion
  propagator in the BCS-BEC crossover",cond-mat.quant-gas
"Theoretical description of two ultracold atoms in finite 3D optical
  lattices using realistic interatomic interaction potentials",cond-mat.quant-gas
"Topological transitions of gapless paired states in mixed-geometry
  lattices",cond-mat.quant-gas
Tunneling-induced angular momentum for single cold atoms,cond-mat.quant-gas
"Quantum dynamics of local phase differences between reservoirs of driven
  interacting bosons separated by simple aperture arrays",cond-mat.quant-gas
"Momentum-dependent pseudogaps in the half-filled two-dimensional Hubbard
  model",cond-mat.quant-gas
"Three-dimensional localized-delocalized Anderson transition in the time
  domain",cond-mat.quant-gas
"Quantum-State Controlled Penning Ionization Reactions between Ultracold
  Alkali and Metastable Helium Atoms",cond-mat.quant-gas
PT invariant Weyl semimetals in gauge symmetric systems,cond-mat.quant-gas
"Ab initio and phenomenological studies of the static response of neutron
  matter",cond-mat.quant-gas
Quantum Performance of Thermal Machines over Many Cycles,cond-mat.quant-gas
Universal noise and Efimov physics,cond-mat.quant-gas
"Modified spin-wave theory and spin liquid behavior of cold bosons on an
  inhomogeneous triangular lattice",cond-mat.quant-gas
Vortex-core structure in a mixture of Bose and Fermi superfluids,cond-mat.quant-gas
"Dynamics of Solitons in the One-Dimensional Nonlinear SchrÌ¦dinger
  Equation",cond-mat.quant-gas
Dicke phase transition without total spin conservation,cond-mat.quant-gas
Fractal to Nonfractal Phase Transition in the Dielectric Breakdown Model,cond-mat.soft
"Condensate fluctuations in finite Bose-Einstein condensates at finite
  temperature",cond-mat.soft
Recent MD Results on Supercooled Thin Polymer Films,cond-mat.soft
Dynamics of laser-induced electroconvection pulses,cond-mat.soft
"Emergence of a Barchan Belt in a Unidirectional Flow: Experiment and
  Numerical Simulation",cond-mat.soft
"Density fluctuations in the intermediate glass-former glycerol: a
  Brillouin light scattering study",cond-mat.soft
"The Superfluid State of a Bose Liquid as a Superposition of a
  Single-Particle and Pair Coherent Condensates",cond-mat.soft
Oscillatory decay of a two-component Bose-Einstein condensate,cond-mat.soft
Theory of Ideal Four-Wave Mixing in Bose-Einstein Condensates,cond-mat.soft
Dynamics of a mean spherical model with competing interactions,cond-mat.soft
"Molecular Dynamics simulation of evaporation processes of fluid bridges
  confined in slit-like pore",cond-mat.soft
"Integral method for flows down an incline: viscous, turbulent and
  granular cases",cond-mat.soft
"Erratum: Effect of Image Forces on Polyelectrolyte Adsorption at a
  Charged Surface",cond-mat.soft
Instability of infinitesimal wrinkles against folding,cond-mat.soft
Model for the free-volume distributions of equilibrium fluids,cond-mat.soft
"Studying Flow Close to an Interface by Total Internal Reflection
  Fluorescence Cross Correlation Spectroscopy: Quantitative Data Analysis",cond-mat.soft
Phase diagrams in inflating balloon,cond-mat.soft
"The dynamics of colloids in a narrow channel driven by a non-uniform
  force",cond-mat.soft
"Charged bilayer membranes in asymmetric ionic solutions: Phase diagrams
  and critical behavior",cond-mat.soft
Polar coordinate lattice Boltzmann modeling of compressible flows,cond-mat.soft
"Study of the ST2 model of water close to the liquid-liquid critical
  point",cond-mat.soft
Particle-induced transition in foams,cond-mat.soft
Concentration Dependence of Excluded Volume Effects,cond-mat.soft
Size-dependent same-material tribocharging in insulating grains,cond-mat.soft
Shear banding of colloidal glasses - a dynamic first order transition?,cond-mat.soft
"Unexpected drop of dynamical heterogeneities in colloidal suspensions
  approaching the jamming transition",cond-mat.soft
"Pore pressure development in small-strain undrained loading of soils
  according to a simple model",cond-mat.soft
"The Electrochemical Surface Potential Due to Classical Point Charge
  Models Drives Anion Adsorption to the Air-Water Interface",cond-mat.soft
A structural approach to relaxation in glassy liquids,cond-mat.soft
Imbibition triggered by capillary condensation in nanopores,cond-mat.soft
Asymmetric Nanoparticle May Go Active at Room Temperature,cond-mat.soft
"Grains unchained: local fluidization of a granular packing by focused
  ultrasound",cond-mat.soft
"Discontinous change from thermally- to geometrically- dominated
  effective interactions in colloidal solutions",cond-mat.soft
Dynamic jamming of iceberg-choked fjords,cond-mat.soft
Dynamics of Three-Dimensional Vesicles in DC Electric fields,cond-mat.soft
Monostable Super Antiwettability,cond-mat.soft
"Second-order Barker-Henderson perturbation theory for the phase behavior
  of polydisperse Morse hard-sphere mixture",cond-mat.soft
Discontinuous Buckling of Wide Beams and Metabeams,cond-mat.soft
"Growth kinetics of NaCl crystals in a drying drop of gelatin: transition
  from faceted to dendritic growth",cond-mat.soft
"Quantification and Physics of Cold Plasma Treatment of Organic Liquid
  Surfaces",cond-mat.soft
"Fluids with competing interactions: I. Decoding the structure factor to
  detect and characterize self-limited clustering",cond-mat.soft
"Ground State and Quasiparticle Spectrum of a Two Component Bose-Einstein
  Condensate",cond-mat.soft
"Entanglement, elasticity and viscous relaxation of actin solutions",cond-mat.soft
Microscopic Engine Powered by Critical Demixing,cond-mat.soft
Anomalous fluctuations of active polar filaments,cond-mat.soft
Coarse Grained Computations for a Micellar System,cond-mat.soft
Flexible Polyelectrolytes with Monovalent Salt,cond-mat.soft
"Physical picture for fractures in stratified materials: viscoelastic
  effects in large cracks",cond-mat.soft
"Configurational temperatures and interactions in charge-stabilized
  colloid",cond-mat.soft
Ordering phenomena in cooling granular mixtures,cond-mat.soft
Truncation of Periodic Image Interactions for Confined Systems,cond-mat.soft
Lipid thermodynamics : melting is molecular,cond-mat.soft
Dilute Wet Granulates: Nonequilibrium Dynamics and Structure Formation,cond-mat.soft
Non-affine response: jammed packings versus spring networks,cond-mat.soft
Modeling elastic instabilities in nematic elastomers,cond-mat.soft
"Two-parameter model predictions and theta-point crossover for
  linear-polymer solutions",cond-mat.soft
"The sedimentation of flexible filaments: Trajectories, particle clouds
  and a buckling instability",cond-mat.soft
Critical swelling of particle-encapsulating vesicles,cond-mat.soft
Third- and fourth-order elasticity of biological soft tissues,cond-mat.soft
"Quantifying the effects of neglecting many-body interactions in
  coarse-grained models of complex fluids",cond-mat.soft
Scaling of Traction Forces with Size of Cohesive Cell Colonies,cond-mat.soft
"Evaluating the robustness of top coatings comprising plasma-deposited
  fluorocarbons in electrowetting systems",cond-mat.soft
Stress response inside perturbed particle assemblies,cond-mat.soft
"Coupling between denaturation and chain conformations in DNA:
  stretching, bending, torsion and finite size effects",cond-mat.soft
"Dielectric Hysteresis, Relaxation Dynamics, and Non-volatile Memory
  Effect in Carbon Nanotube Dispersed Liquid Crystal",cond-mat.soft
Solution landscapes in nematic microfluidics,cond-mat.soft
On the physical origin of fatigue phenomena,cond-mat.soft
"Comment on ""A test-tube model for rainfall"" by Wilkinson M., EPL 106
  (2014) 40001",cond-mat.soft
Statistical Theory of Initiation of Explosives by Impact,cond-mat.soft
"Electrostatic self-energy of a partially formed spherical shell in salt
  solution: application to stability of tethered and fluid shells -- viruses
  and vesicles",cond-mat.soft
Dynamical scaling of fragment distribution in drying paste,cond-mat.soft
Winding angle distributions for two-dimensional collapsing polymers,cond-mat.soft
On the Green-Kubo relationship of the liquid-solid friction coefficient,cond-mat.soft
Solvation and Dissociation in Weakly Ionized Polyelectrolytes,cond-mat.soft
Granular entropy: Explicit calculations for planar assemblies,cond-mat.soft
Dynamic Self-Consistent Field Theory for Unentangled Homopolymer Fluids,cond-mat.soft
"Statistical mechanics of coil-hairpin transition in a single stranded
  DNA oligomer",cond-mat.soft
Escape of a chain molecule over a barrier - the kink mechanism,cond-mat.soft
"A theoretical framework for steady-state rheometry in generic flow
  conditions",cond-mat.soft
Ground State Energy of the Low Density Bose Gas,cond-mat.soft
A Model for Bone Strength and Osteoporotic Fractures,cond-mat.soft
Crystallization Mechanism of Hard Sphere Glasses,cond-mat.soft
"Collective motion and nonequilibrium cluster formation in colonies of
  gliding bacteria",cond-mat.soft
Effect of thermal noise on vesicles and capsules in shear flow,cond-mat.soft
Extending classical nucleation theory to confined systems,cond-mat.soft
Collective Thermotaxis of Thermally Active Colloids,cond-mat.soft
No many-scallop theorem: Collective locomotion of reciprocal swimmers,cond-mat.soft
"Liquid crystalline phases and demixing in binary mixtures of
  shape-anisometric colloids",cond-mat.soft
What determines static force chains in stressed granular media?,cond-mat.soft
Directed Paths in a Wedge,cond-mat.soft
Heterogeneous Dynamical Relaxations in a Lane Forming Liquid,cond-mat.soft
Modeling generic aspects of ideal fibril formation,cond-mat.soft
"Liquids that form due to dynamics of the molecules that depend on the
  local density",cond-mat.soft
"A Molecular Theory of the Nematic-Nematic Phase Transitions in Mesogenic
  Dimers",cond-mat.soft
Probing Pores Using Elementary Quantum Mechanics,cond-mat.soft
"Exploring the complex free energy landscape of the simplest glass by
  rheology",cond-mat.soft
"Influence by small dispersive coal dust particles of different
  fractional consistence on characteristics of iodine air filter at nuclear
  power plant",cond-mat.soft
Fragmentation of a viscoelastic food by human mastication,cond-mat.soft
"Inelastic scattering puts in question recent claims of Anderson
  localization of light",cond-mat.soft
"Scale dependence of mechanics and dynamics of active gels with
  increasing motor concentration",cond-mat.soft
Feynman's ratchet and pawl: an exactly solvable model,cond-mat.stat-mech
"A multi-species asymmetric simple exclusion process and its relation to
  traffic flow",cond-mat.stat-mech
Correlations of triggering noise in driven magnetic clusters,cond-mat.stat-mech
Diffusion-Limited Coalescence and Annihilation in Random Media,cond-mat.stat-mech
"Distribution Function of the End-to-End Distance of Semiflexible
  Polymers",cond-mat.stat-mech
"Dynamic behavior of driven interfaces in models with two absorbing
  states",cond-mat.stat-mech
Sub-Doppler Laser Cooling of Fermionic K-40 Atoms,cond-mat.stat-mech
Is there Ornstein-Zernike equation in the canonical ensemble?,cond-mat.stat-mech
"Off-lattice noise reduction and the ultimate scaling of DLA in two
  dimensions",cond-mat.stat-mech
Testing the Edwards hypothesis in spin systems under tapping dynamics,cond-mat.stat-mech
"Ground state properties of a trapped few-Boson system under rotation
  --beyond the ""lowest Landau level"" approximation--",cond-mat.stat-mech
Probabilistic Traffic Flow Breakdown In Stochastic Car Following Models,cond-mat.stat-mech
"General relation between drift velocity and dispersion of a molecular
  motor",cond-mat.stat-mech
"Parameterization of two-dimensional turbulence using an anisotropic
  maximum entropy production principle",cond-mat.stat-mech
Superstatistics from a different perspective,cond-mat.stat-mech
Power-Law Time Distribution of Large Earthquakes,cond-mat.stat-mech
"Non-Poisson distribution of the time distances between two consecutive
  clusters of earthquakes",cond-mat.stat-mech
"Collective phase synchronization in locally-coupled limit-cycle
  oscillators",cond-mat.stat-mech
Directed Accelerated Growth: Application in Citation Network,cond-mat.stat-mech
"Numerical investigations of discrete scale invariance in fractals and
  multifractal measures",cond-mat.stat-mech
"Rate description of Fokker-Planck processes with time dependent
  parameters",cond-mat.stat-mech
FFLO Vortex Lattice States in Cold Fermionic-Atom Systems,cond-mat.stat-mech
Time-Delayed Feedback control of a flashing ratchet,cond-mat.stat-mech
Simple spin models with non-concave entropies,cond-mat.stat-mech
"Novel ordering of the pyrochlore Heisenberg antiferromagnet with the
  ferromagnetic next-nearest-neighbor interaction",cond-mat.stat-mech
Voter Dynamics on an Ising Ladder: Coarsening and Persistence,cond-mat.stat-mech
"Tracking heterogeneous dynamics during the alpha-relaxation of a simple
  glass-former",cond-mat.stat-mech
Maximum Entropy Principle for the Microcanonical Ensemble,cond-mat.stat-mech
"Coherence, decoherence, and memory effects in the problems of quantum
  surface diffusion",cond-mat.stat-mech
Virial equation-of-state for the hard-disk fluid,cond-mat.stat-mech
"Information-theory-based solution of the inverse problem in classical
  statistical mechanics",cond-mat.stat-mech
Large deviations of heat flow in harmonic chains,cond-mat.stat-mech
Mechanical and superfluid properties of dislocations in solid He4,cond-mat.stat-mech
"Generalized relation between the relative entropy and dissipation for
  nonequilibrium systems",cond-mat.stat-mech
"Fluctuating hydrodynamics and turbulence in a rotating fluid: Universal
  properties",cond-mat.stat-mech
Phase separation transition of reconstituting k-mers in one dimension,cond-mat.stat-mech
Numerical approach to unbiased and driven generalized elastic model,cond-mat.stat-mech
Attainability of Carnot Efficiency with Autonomous Engines,cond-mat.stat-mech
"Advantages and challenges in coupling an ideal gas to atomistic models
  in adaptive resolution simulations",cond-mat.stat-mech
Aftershock production rate of driven viscoelastic interfaces,cond-mat.stat-mech
"Renormalization group calculations for wetting transitions of infinite
  order and continuously varying order. I. Local interface Hamiltonian approach",cond-mat.stat-mech
"Signatures of dynamic heterogeneity from a generalized hydrodynamic
  model of the supercooled liquid",cond-mat.stat-mech
"Evidence against an Almeida-Thouless line in disordered systems of Ising
  dipoles",cond-mat.stat-mech
"Solid-fluid transition of two- or three-dimensional systems with
  infinite-range interaction",cond-mat.stat-mech
Fast Algorithm for Relaxation Processes in Big-data Systems,cond-mat.stat-mech
Mixed Heisenberg Chains. I. The Ground State Problem,cond-mat.stat-mech
"Extracting Work from a single heat bath using velocity dependent
  feedback",cond-mat.stat-mech
"Particle interactions mediated by dynamical networks: assessment of
  macroscopic descriptions",cond-mat.stat-mech
A New Monte Carlo Algorithm for Protein Folding,cond-mat.stat-mech
Cellular Automata,cond-mat.stat-mech
Critical Percolation and Transport in Nearly One Dimension,cond-mat.stat-mech
Statistical characterization of the standard map,cond-mat.stat-mech
Quantum orientational melting of mesoscopic clusters,cond-mat.stat-mech
"Effect of Excluded Volume and Anisotropy on Granular Statistics: 'Fermi
  Statistics' and Condensation",cond-mat.stat-mech
